-- Testing: 258 tests, 192 workers --
PASS: compiler :: regression/cxa_vector.ll (1 of 258)
PASS: compiler :: test_string_constraints.py (2 of 258)
PASS: compiler :: test_agentic_concolic_hooks.py (3 of 258)
PASS: compiler :: self_config_native_provider.py (4 of 258)
PASS: compiler :: test_ablation_analysis.py (5 of 258)
PASS: compiler :: test_agolic_planning.py (6 of 258)
PASS: compiler :: test_offline_policy.py (7 of 258)
PASS: compiler :: unsat_core_cache.c (8 of 258)
PASS: compiler :: live_continuation_index_width.ll (9 of 258)
PASS: compiler :: live_continuation_exception_signature.ll (10 of 258)
PASS: compiler :: backsolver_symbolic_phi.ll (11 of 258)
PASS: compiler :: test_pytest_discovery_contract.py (12 of 258)
PASS: compiler :: test_live_shared_phi_edge_discriminator.py (13 of 258)
PASS: compiler :: ucsan_invalid_entry.c (14 of 258)
PASS: compiler :: read.c (15 of 258)
PASS: compiler :: test_live_byte_lane_writer_graph.py (16 of 258)
PASS: compiler :: test_case_handler.c (17 of 258)
PASS: compiler :: test_live_cyclic_byte_lane_writer_graph.py (18 of 258)
PASS: compiler :: schedule_module_filter.c (19 of 258)
PASS: compiler :: integers.c (20 of 258)
PASS: compiler :: memcpy.c (21 of 258)
PASS: compiler :: fast_solve_prefix.c (22 of 258)
PASS: compiler :: test_smt_sequence_training.py (23 of 258)
PASS: compiler :: pointers.c (24 of 258)
PASS: compiler :: directed_coloration_multimodule.c (25 of 258)
PASS: compiler :: string_constraints.c (26 of 258)
PASS: compiler :: concurrency_guidance.c (27 of 258)
PASS: compiler :: backsolver_nested_veritesting.ll (28 of 258)
PASS: compiler :: arrays.c (29 of 258)
PASS: compiler :: backsolver_select.ll (30 of 258)
PASS: compiler :: integer_min_max.ll (31 of 258)
PASS: compiler :: if.c (32 of 258)
PASS: compiler :: propagation_select.c (33 of 258)
PASS: compiler :: switch.c (34 of 258)
PASS: compiler :: backsolver_veritesting_region.ll (35 of 258)
PASS: compiler :: backsolver_multiarm_memory_state.ll (36 of 258)
PASS: compiler :: strings.c (37 of 258)
PASS: compiler :: loop.c (38 of 258)
PASS: compiler :: directed_prune.c (39 of 258)
PASS: compiler :: schedule_memory_trace.c (40 of 258)
PASS: compiler :: poly_cache_logical_predicate.c (41 of 258)
PASS: compiler :: file_input.c (42 of 258)
PASS: compiler :: backsolver_selective_prefix.ll (43 of 258)
PASS: compiler :: backsolver_multiarm_ifss.ll (44 of 258)
PASS: compiler :: libc_long_compare.c (45 of 258)
PASS: compiler :: structs.c (46 of 258)
PASS: compiler :: test_smt_sequence_optimizer.py (47 of 258)
PASS: compiler :: backsolver_memory_state.ll (48 of 258)
PASS: compiler :: backsolver_memory_snapshot.ll (49 of 258)
PASS: compiler :: bswap.c (50 of 258)
PASS: compiler :: backsolver_memory_def_chain.ll (51 of 258)
PASS: compiler :: globals.c (52 of 258)
PASS: compiler :: poly_modular_soundness.ll (53 of 258)
PASS: compiler :: test_live_byte_lane_phi_writer_graph.py (54 of 258)
PASS: compiler :: backsolver_ifss_condition_cache.ll (55 of 258)
PASS: compiler :: poly_exact_integer_projection.c (56 of 258)
PASS: compiler :: test_live_conditional_cyclic_byte_lane_writer_graph.py (57 of 258)
PASS: compiler :: freeze_symbolic.ll (58 of 258)
PASS: compiler :: test_ucsan_seed.py (59 of 258)
PASS: compiler :: poly_cross_size_endian_renaming.c (60 of 258)
PASS: compiler :: large_alloc.c (61 of 258)
PASS: compiler :: poly_cross_prefix_cache.c (62 of 258)
PASS: compiler :: test_live_multiarm_cyclic_byte_lane_writer_graph.py (63 of 258)
PASS: compiler :: empirical_value_profile_signed.c (64 of 258)
PASS: compiler :: test_live_recursive_cyclic_byte_lane_writer_graph.py (65 of 258)
PASS: compiler :: s2f_actionseed.c (66 of 258)
UNSUPPORTED: compiler :: simple_out_of_order_input.c (67 of 258)
PASS: compiler :: poly_cache.c (68 of 258)
PASS: compiler :: ucsan_jit.c (69 of 258)
PASS: compiler :: test_verifier_loop.py (70 of 258)
PASS: compiler :: backsolver_implicit_flow.ll (71 of 258)
PASS: compiler :: test_afl_hint_mutator.py (72 of 258)
PASS: compiler :: directed_coloration.c (73 of 258)
PASS: compiler :: test_cross_theory_selective.py (74 of 258)
PASS: compiler :: test_solution_generator.py (75 of 258)
PASS: compiler :: test_path_cover.py (76 of 258)
PASS: compiler :: test_live_state_scheduler.py (77 of 258)
PASS: compiler :: test_structural_tasks.py (78 of 258)
PASS: compiler :: test_heap_path_optimality.py (79 of 258)
PASS: compiler :: test_empirical_value_profile.py (80 of 258)
PASS: compiler :: test_lava_dse_ablation_analysis.py (81 of 258)
PASS: compiler :: test_benchmark_statistics.py (82 of 258)
PASS: compiler :: backsolver_continuation_ordered_writer_graph_big_endian.ll (83 of 258)
PASS: compiler :: test_adaptive_components.py (84 of 258)
PASS: compiler :: backsolver_continuation_nested_predicate_cyclic_byte_lane_big_endian.ll (85 of 258)
PASS: compiler :: test_expressive_coverage.py (86 of 258)
PASS: compiler :: backsolver_continuation_conditional_multi_latch_cyclic_byte_lane_big_endian.ll (87 of 258)
PASS: compiler :: backsolver_continuation_symbolic_heap_region_big_endian.ll (88 of 258)
PASS: compiler :: backsolver_continuation_ordered_symbolic_region_cycle_reject.ll (89 of 258)
PASS: compiler :: test_semantic_fallback.py (90 of 258)
PASS: compiler :: backsolver_loop_summary_reject.ll (91 of 258)
PASS: compiler :: bool_cast.c (92 of 258)
PASS: compiler :: empirical_value_profile_switch.c (93 of 258)
PASS: compiler :: test_smt_algorithm_scheduler.py (94 of 258)
PASS: compiler :: backsolver_continuation_ordered_symbolic_region_cycle_big_endian.ll (95 of 258)
PASS: compiler :: backsolver_continuation_symbolic_heap_region_cycle_reject.ll (96 of 258)
PASS: compiler :: backsolver_continuation_nested_predicate_cyclic_byte_lane_reject.ll (97 of 258)
PASS: compiler :: backsolver_continuation_bounded_multi_latch_cyclic_byte_lane_big_endian.ll (98 of 258)
PASS: compiler :: backsolver_continuation_symbolic_heap_region_multi_latch_reject.ll (99 of 258)
PASS: compiler :: backsolver_multi_exit_return_reject.ll (100 of 258)
PASS: compiler :: backsolver_continuation_cyclic_byte_lane_reject.ll (101 of 258)
PASS: compiler :: backsolver_continuation_bounded_multi_latch_cyclic_byte_lane_reject.ll (102 of 258)
PASS: compiler :: backsolver_continuation_conditional_multi_latch_cyclic_byte_lane_reject.ll (103 of 258)
PASS: compiler :: backsolver_multi_exit_return.ll (104 of 258)
PASS: compiler :: backsolver_multiarm_ifss_reject.ll (105 of 258)
PASS: compiler :: backsolver_continuation_guarded_byte_lane_reject.ll (106 of 258)
PASS: compiler :: test_smt_schedule_smbo.py (107 of 258)
PASS: compiler :: backsolver_loop_break_reject.ll (108 of 258)
PASS: compiler :: test_executor_portfolio.py (109 of 258)
PASS: compiler :: backsolver_continuation_symbolic_heap_region_multi_latch_big_endian.ll (110 of 258)
PASS: compiler :: backsolver_memory_state_reject.ll (111 of 258)
PASS: compiler :: backsolver_continuation_multi_latch_cyclic_byte_lane_reject.ll (112 of 258)
PASS: compiler :: test_lark_sppf_parser.py (113 of 258)
PASS: compiler :: veritesting_memory_reject.ll (114 of 258)
PASS: compiler :: floats.c (115 of 258)
PASS: compiler :: poly_prefix_cache.c (116 of 258)
PASS: compiler :: backsolver_continuation_memory_reject.ll (117 of 258)
PASS: compiler :: backsolver_continuation_symbolic_heap_region_reject.ll (118 of 258)
PASS: compiler :: test_hydra_transform.py (119 of 258)
PASS: compiler :: ucsan_unsupported_musttail.ll (120 of 258)
PASS: compiler :: backsolver_continuation_tuple.ll (121 of 258)
