-- Testing: 260 tests, 32 workers --
PASS: compiler :: backsolver_continuation_initial_memory.ll (1 of 260)
PASS: compiler :: hydra_internal_dag.ll (2 of 260)
PASS: compiler :: hydra_cross_region_hash_cons.ll (3 of 260)
PASS: compiler :: backsolver_continuation_byte_lane.ll (4 of 260)
PASS: compiler :: hydra_shared_predicate_dag.ll (5 of 260)
PASS: compiler :: backsolver_continuation_memory.ll (6 of 260)
PASS: compiler :: hydra_internal_tree.ll (7 of 260)
PASS: compiler :: backsolver_continuation_symbolic_heap_region_cycle.ll (8 of 260)
PASS: compiler :: test_qf_bv_conformance.py (9 of 260)
PASS: compiler :: test_semantic_proposals.py (10 of 260)
PASS: compiler :: test_query_store.py (11 of 260)
PASS: compiler :: backsolver_continuation_symbolic_heap_region_multi_latch.ll (12 of 260)
PASS: compiler :: backsolver_continuation_ordered_symbolic_region_cycle.ll (13 of 260)
PASS: compiler :: test_mpi_filesystem_qualification.py (14 of 260)
PASS: compiler :: test_research_protocol.py (15 of 260)
PASS: compiler :: backsolver_continuation_ordered_writer_graph.ll (16 of 260)
PASS: compiler :: test_qf_bv_backend.py (17 of 260)
PASS: compiler :: test_live_exception_object_arena.py (18 of 260)
PASS: compiler :: hydra_internal_dag_memory.ll (19 of 260)
PASS: compiler :: hydra_internal_tree_memory.ll (20 of 260)
PASS: compiler :: hydra_unequal_max.ll (21 of 260)
PASS: compiler :: backsolver_loop_multibreak.ll (22 of 260)
PASS: compiler :: ucsan_uninitialized.c (23 of 260)
PASS: compiler :: backsolver_loop_three_break_triangular.ll (24 of 260)
PASS: compiler :: live_continuation_ssa_copy.ll (25 of 260)
PASS: compiler :: test_current_evaluation_analysis.py (26 of 260)
PASS: compiler :: test_schedule_exploration.py (27 of 260)
PASS: compiler :: test_python_test_gate.py (28 of 260)
PASS: compiler :: backsolver_loop_break.ll (29 of 260)
PASS: compiler :: test_live_exception_lifecycle.py (30 of 260)
PASS: compiler :: test_live_external_models.py (31 of 260)
PASS: compiler :: test_transform_artifact_bundle.py (32 of 260)
PASS: compiler :: test_mpi_lifecycle.py (33 of 260)
