ninja: Entering directory `build-llvm17'
[1/4] Performing build step for 'SymCCRuntime'
ninja: no work to do.
[2/4] No install step for 'SymCCRuntime'
[3/4] Completed 'SymCCRuntime'
[3/4] Testing the system...
-- Testing: 261 tests, 192 workers --
PASS: compiler :: schedule_module_filter.c (1 of 261)
PASS: compiler :: live_continuation_index_width.ll (2 of 261)
PASS: compiler :: memory_input.c (3 of 261)
PASS: compiler :: unsat_core_cache.c (4 of 261)
PASS: compiler :: directed_coloration_indirect.c (5 of 261)
PASS: compiler :: test_pytest_discovery_contract.py (6 of 261)
PASS: compiler :: integers.c (7 of 261)
PASS: compiler :: load_store.ll (8 of 261)
PASS: compiler :: pointers.c (9 of 261)
PASS: compiler :: bswap.c (10 of 261)
PASS: compiler :: test_smt_sequence_training.py (11 of 261)
PASS: compiler :: concrete_structs.ll (12 of 261)
PASS: compiler :: backsolver_veritesting_region.ll (13 of 261)
PASS: compiler :: pointer_width_casts.ll (14 of 261)
PASS: compiler :: test_case_handler.c (15 of 261)
PASS: compiler :: symbolic_structs.ll (16 of 261)
PASS: compiler :: bcopy_bcmp_bzero.c (17 of 261)
PASS: compiler :: read.c (18 of 261)
PASS: compiler :: usub_sat.ll (19 of 261)
PASS: compiler :: arrays.c (20 of 261)
PASS: compiler :: floats.c (21 of 261)
PASS: compiler :: directed_coloration_multimodule.c (22 of 261)
PASS: compiler :: uadd_sat.ll (23 of 261)
PASS: compiler :: schedule_atomic_trace.c (24 of 261)
PASS: compiler :: bool_cast.c (25 of 261)
PASS: compiler :: memcpy.c (26 of 261)
PASS: compiler :: integer_min_max.ll (27 of 261)
PASS: compiler :: test_live_conditional_cyclic_byte_lane_writer_graph.py (28 of 261)
PASS: compiler :: loop.c (29 of 261)
PASS: compiler :: schedule_memory_trace.c (30 of 261)
PASS: compiler :: backsolver_selective_prefix.ll (31 of 261)
PASS: compiler :: switch.c (32 of 261)
PASS: compiler :: backsolver_select.ll (33 of 261)
PASS: compiler :: backsolver_symbolic_phi.ll (34 of 261)
PASS: compiler :: test_live_byte_lane_phi_writer_graph.py (35 of 261)
PASS: compiler :: test_live_multiarm_cyclic_byte_lane_writer_graph.py (36 of 261)
PASS: compiler :: file_input.c (37 of 261)
PASS: compiler :: backsolver_continuation_bounded_multi_latch_cyclic_byte_lane_big_endian.ll (38 of 261)
PASS: compiler :: concurrency_guidance.c (39 of 261)
PASS: compiler :: propagation_select.c (40 of 261)
PASS: compiler :: if.c (41 of 261)
PASS: compiler :: string_constraints.c (42 of 261)
PASS: compiler :: directed_prune.c (43 of 261)
PASS: compiler :: backsolver_nested_veritesting.ll (44 of 261)
PASS: compiler :: backsolver_continuation_ordered_writer_graph_big_endian.ll (45 of 261)
PASS: compiler :: backsolver_memory_state.ll (46 of 261)
PASS: compiler :: test_live_recursive_cyclic_byte_lane_writer_graph.py (47 of 261)
PASS: compiler :: backsolver_continuation_symbolic_heap_region_multi_latch_big_endian.ll (48 of 261)
PASS: compiler :: backsolver_memory_def_chain.ll (49 of 261)
PASS: compiler :: fast_solve_prefix.c (50 of 261)
PASS: compiler :: strings.c (51 of 261)
PASS: compiler :: libc_long_compare.c (52 of 261)
PASS: compiler :: data_coverage_static.c (53 of 261)
PASS: compiler :: hydra_transform.ll (54 of 261)
PASS: compiler :: poly_modular_soundness.ll (55 of 261)
PASS: compiler :: globals.c (56 of 261)
PASS: compiler :: backsolver_multiarm_ifss.ll (57 of 261)
PASS: compiler :: backsolver_multiarm_memory_state.ll (58 of 261)
PASS: compiler :: large_alloc.c (59 of 261)
PASS: compiler :: backsolver_continuation_ordered_symbolic_region_cycle_big_endian.ll (60 of 261)
PASS: compiler :: backsolver_continuation_nested_predicate_cyclic_byte_lane_big_endian.ll (61 of 261)
PASS: compiler :: backsolver_continuation_symbolic_heap_region_big_endian.ll (62 of 261)
PASS: compiler :: backsolver_continuation_conditional_multi_latch_cyclic_byte_lane_big_endian.ll (63 of 261)
PASS: compiler :: freeze_symbolic.ll (64 of 261)
PASS: compiler :: backsolver_ifss_condition_cache.ll (65 of 261)
PASS: compiler :: poly_cache_logical_predicate.c (66 of 261)
PASS: compiler :: backsolver_memory_snapshot.ll (67 of 261)
PASS: compiler :: test_smt_sequence_optimizer.py (68 of 261)
UNSUPPORTED: compiler :: simple_out_of_order_input.c (69 of 261)
UNSUPPORTED: compiler :: cross_llvm_transform_replay.ll (70 of 261)
PASS: compiler :: structs.c (71 of 261)
PASS: compiler :: test_empirical_value_profile.py (72 of 261)
PASS: compiler :: s2f_actionseed.c (73 of 261)
PASS: compiler :: poly_cross_prefix_cache.c (74 of 261)
PASS: compiler :: test_lark_sppf_parser.py (75 of 261)
PASS: compiler :: test_smt_schedule_smbo.py (76 of 261)
PASS: compiler :: poly_cross_size_endian_renaming.c (77 of 261)
PASS: compiler :: empirical_value_profile_signed.c (78 of 261)
PASS: compiler :: poly_prefix_cache.c (79 of 261)
PASS: compiler :: backsolver_continuation_nested_predicate_cyclic_byte_lane_reject.ll (80 of 261)
PASS: compiler :: backsolver_continuation_symbolic_heap_region_cycle_reject.ll (81 of 261)
PASS: compiler :: test_solution_generator.py (82 of 261)
PASS: compiler :: test_afl_hint_mutator.py (83 of 261)
PASS: compiler :: veritesting_memory_reject.ll (84 of 261)
PASS: compiler :: test_adaptive_components.py (85 of 261)
PASS: compiler :: backsolver_continuation_ordered_symbolic_region_cycle_reject.ll (86 of 261)
PASS: compiler :: ucsan_unsupported_musttail.ll (87 of 261)
PASS: compiler :: test_cross_theory_selective.py (88 of 261)
PASS: compiler :: test_live_state_scheduler.py (89 of 261)
PASS: compiler :: backsolver_continuation_cyclic_byte_lane_reject.ll (90 of 261)
PASS: compiler :: backsolver_multiarm_ifss_reject.ll (91 of 261)
PASS: compiler :: backsolver_loop_summary_reject.ll (92 of 261)
PASS: compiler :: static_dependencies_wide_size.ll (93 of 261)
PASS: compiler :: test_live_multicell_alias_graph.py (94 of 261)
PASS: compiler :: backsolver_memory_state_reject.ll (95 of 261)
PASS: compiler :: backsolver_continuation_conditional_multi_latch_cyclic_byte_lane_reject.ll (96 of 261)
PASS: compiler :: backsolver_continuation_guarded_byte_lane_reject.ll (97 of 261)
PASS: compiler :: backsolver_loop_break_reject.ll (98 of 261)
PASS: compiler :: hydra_internal_dag_reject.ll (99 of 261)
PASS: compiler :: test_structural_tasks.py (100 of 261)
PASS: compiler :: test_verifier_loop.py (101 of 261)
PASS: compiler :: backsolver_continuation_multi_latch_cyclic_byte_lane_reject.ll (102 of 261)
PASS: compiler :: backsolver_multi_exit_return_reject.ll (103 of 261)
PASS: compiler :: poly_exact_integer_projection.c (104 of 261)
PASS: compiler :: test_benchmark_statistics.py (105 of 261)
PASS: compiler :: test_semantic_fallback.py (106 of 261)
PASS: compiler :: backsolver_continuation_symbolic_heap_region_reject.ll (107 of 261)
PASS: compiler :: test_expressive_coverage.py (108 of 261)
PASS: compiler :: backsolver_continuation_shared.ll (109 of 261)
PASS: compiler :: backsolver_continuation_symbolic_heap_region_multi_latch_reject.ll (110 of 261)
