ninja: Entering directory `build-llvm17'
[1/4] Performing build step for 'SymCCRuntime'
ninja: no work to do.
[2/4] No install step for 'SymCCRuntime'
[3/4] Completed 'SymCCRuntime'
[3/4] Testing the system...
-- Testing: 263 tests, 192 workers --
PASS: compiler :: read.c (1 of 263)
PASS: compiler :: backsolver_select.ll (2 of 263)
PASS: compiler :: test_parasuit_parameter_policy.py (3 of 263)
PASS: compiler :: integers.c (4 of 263)
PASS: compiler :: concurrency_guidance.c (5 of 263)
PASS: compiler :: propagation_select.c (6 of 263)
PASS: compiler :: directed_coloration_indirect.c (7 of 263)
PASS: compiler :: uadd_sat.ll (8 of 263)
PASS: compiler :: load_store.ll (9 of 263)
PASS: compiler :: bswap.c (10 of 263)
PASS: compiler :: test_pytest_discovery_contract.py (11 of 263)
PASS: compiler :: usub_sat.ll (12 of 263)
PASS: compiler :: backsolver_veritesting_region.ll (13 of 263)
PASS: compiler :: backsolver_symbolic_phi.ll (14 of 263)
PASS: compiler :: bcopy_bcmp_bzero.c (15 of 263)
PASS: compiler :: symbolic_structs.ll (16 of 263)
PASS: compiler :: pointers.c (17 of 263)
PASS: compiler :: unsat_core_cache.c (18 of 263)
PASS: compiler :: bool_cast.c (19 of 263)
PASS: compiler :: schedule_atomic_trace.c (20 of 263)
PASS: compiler :: pointer_width_casts.ll (21 of 263)
PASS: compiler :: floats.c (22 of 263)
PASS: compiler :: poly_modular_soundness.ll (23 of 263)
PASS: compiler :: directed_coloration_multimodule.c (24 of 263)
PASS: compiler :: test_case_handler.c (25 of 263)
PASS: compiler :: test_smt_sequence_training.py (26 of 263)
PASS: compiler :: concrete_structs.ll (27 of 263)
PASS: compiler :: schedule_memory_trace.c (28 of 263)
PASS: compiler :: memcpy.c (29 of 263)
PASS: compiler :: memory_input.c (30 of 263)
PASS: compiler :: arrays.c (31 of 263)
PASS: compiler :: structs.c (32 of 263)
PASS: compiler :: if.c (33 of 263)
PASS: compiler :: loop.c (34 of 263)
PASS: compiler :: switch.c (35 of 263)
PASS: compiler :: freeze_symbolic.ll (36 of 263)
PASS: compiler :: directed_prune.c (37 of 263)
PASS: compiler :: test_live_multiarm_cyclic_byte_lane_writer_graph.py (38 of 263)
PASS: compiler :: backsolver_selective_prefix.ll (39 of 263)
PASS: compiler :: test_live_conditional_cyclic_byte_lane_writer_graph.py (40 of 263)
PASS: compiler :: file_input.c (41 of 263)
PASS: compiler :: libc_long_compare.c (42 of 263)
PASS: compiler :: backsolver_memory_state.ll (43 of 263)
PASS: compiler :: s2f_actionseed.c (44 of 263)
PASS: compiler :: backsolver_multiarm_ifss.ll (45 of 263)
PASS: compiler :: backsolver_multiarm_memory_state.ll (46 of 263)
PASS: compiler :: backsolver_nested_veritesting.ll (47 of 263)
PASS: compiler :: test_smt_sequence_optimizer.py (48 of 263)
PASS: compiler :: string_constraints.c (49 of 263)
PASS: compiler :: backsolver_continuation_ordered_writer_graph_big_endian.ll (50 of 263)
PASS: compiler :: test_live_recursive_cyclic_byte_lane_writer_graph.py (51 of 263)
PASS: compiler :: strings.c (52 of 263)
PASS: compiler :: test_live_byte_lane_phi_writer_graph.py (53 of 263)
PASS: compiler :: test_empirical_value_profile.py (54 of 263)
PASS: compiler :: backsolver_memory_def_chain.ll (55 of 263)
PASS: compiler :: backsolver_memory_snapshot.ll (56 of 263)
PASS: compiler :: integer_min_max.ll (57 of 263)
PASS: compiler :: backsolver_continuation_bounded_multi_latch_cyclic_byte_lane_big_endian.ll (58 of 263)
PASS: compiler :: backsolver_continuation_symbolic_heap_region_multi_latch_big_endian.ll (59 of 263)
PASS: compiler :: globals.c (60 of 263)
PASS: compiler :: backsolver_continuation_ordered_symbolic_region_cycle_big_endian.ll (61 of 263)
PASS: compiler :: backsolver_continuation_conditional_multi_latch_cyclic_byte_lane_big_endian.ll (62 of 263)
PASS: compiler :: test_smt_schedule_smbo.py (63 of 263)
PASS: compiler :: large_alloc.c (64 of 263)
PASS: compiler :: backsolver_ifss_condition_cache.ll (65 of 263)
PASS: compiler :: backsolver_continuation_symbolic_heap_region_big_endian.ll (66 of 263)
PASS: compiler :: poly_cache_logical_predicate.c (67 of 263)
PASS: compiler :: poly_cross_size_endian_renaming.c (68 of 263)
PASS: compiler :: backsolver_continuation_nested_predicate_cyclic_byte_lane_big_endian.ll (69 of 263)
UNSUPPORTED: compiler :: simple_out_of_order_input.c (70 of 263)
UNSUPPORTED: compiler :: cross_llvm_transform_replay.ll (71 of 263)
PASS: compiler :: poly_exact_integer_projection.c (72 of 263)
PASS: compiler :: test_lark_sppf_parser.py (73 of 263)
PASS: compiler :: fast_solve_prefix.c (74 of 263)
PASS: compiler :: backsolver_implicit_flow.ll (75 of 263)
PASS: compiler :: hydra_transform.ll (76 of 263)
PASS: compiler :: directed_coloration.c (77 of 263)
PASS: compiler :: backsolver_continuation_symbolic_heap_region_cycle_reject.ll (78 of 263)
PASS: compiler :: test_live_multicell_alias_graph.py (79 of 263)
PASS: compiler :: backsolver_continuation_nested_predicate_cyclic_byte_lane_reject.ll (80 of 263)
PASS: compiler :: test_structural_tasks.py (81 of 263)
PASS: compiler :: ucsan_unsupported_musttail.ll (82 of 263)
PASS: compiler :: backsolver_continuation_symbolic_heap_region_reject.ll (83 of 263)
PASS: compiler :: backsolver_continuation_ordered_symbolic_region_cycle_reject.ll (84 of 263)
PASS: compiler :: backsolver_memory_state_reject.ll (85 of 263)
PASS: compiler :: test_live_state_scheduler.py (86 of 263)
PASS: compiler :: backsolver_loop_summary_reject.ll (87 of 263)
PASS: compiler :: test_afl_hint_mutator.py (88 of 263)
PASS: compiler :: test_cross_theory_selective.py (89 of 263)
PASS: compiler :: veritesting_memory_reject.ll (90 of 263)
PASS: compiler :: test_adaptive_components.py (91 of 263)
PASS: compiler :: test_expressive_coverage.py (92 of 263)
PASS: compiler :: test_heap_path_optimality.py (93 of 263)
PASS: compiler :: test_solution_generator.py (94 of 263)
PASS: compiler :: backsolver_continuation_symbolic_heap_region_multi_latch_reject.ll (95 of 263)
PASS: compiler :: backsolver_loop_break_reject.ll (96 of 263)
PASS: compiler :: backsolver_multiarm_ifss_reject.ll (97 of 263)
PASS: compiler :: backsolver_continuation_multi_latch_cyclic_byte_lane_reject.ll (98 of 263)
PASS: compiler :: test_benchmark_statistics.py (99 of 263)
PASS: compiler :: backsolver_continuation_memory_reject.ll (100 of 263)
PASS: compiler :: backsolver_continuation_cyclic_byte_lane_reject.ll (101 of 263)
PASS: compiler :: backsolver_continuation_conditional_multi_latch_cyclic_byte_lane_reject.ll (102 of 263)
PASS: compiler :: static_dependencies_wide_size.ll (103 of 263)
PASS: compiler :: backsolver_loop_multibreak_reject.ll (104 of 263)
PASS: compiler :: test_verifier_loop.py (105 of 263)
PASS: compiler :: test_lava_dse_ablation_analysis.py (106 of 263)
PASS: compiler :: backsolver_multi_exit_return_reject.ll (107 of 263)
PASS: compiler :: backsolver_continuation_tuple_reject.ll (108 of 263)
PASS: compiler :: test_executor_portfolio.py (109 of 263)
PASS: compiler :: test_hydra_transform.py (110 of 263)
PASS: compiler :: backsolver_switch_ifss_reject.ll (111 of 263)
PASS: compiler :: backsolver_continuation_bounded_multi_latch_cyclic_byte_lane_reject.ll (112 of 263)
PASS: compiler :: data_coverage_static.c (113 of 263)
PASS: compiler :: backsolver_continuation_shared.ll (114 of 263)
PASS: compiler :: backsolver_continuation_pointer_union_reject.ll (115 of 263)
PASS: compiler :: backsolver_continuation_pointer_union_priority_reject.ll (116 of 263)
PASS: compiler :: hydra_internal_dag_reject.ll (117 of 263)
PASS: compiler :: test_semantic_fallback.py (118 of 263)
PASS: compiler :: backsolver_continuation_guarded_byte_lane_reject.ll (119 of 263)
PASS: compiler :: test_smt_algorithm_scheduler.py (120 of 263)
PASS: compiler :: test_path_cover.py (121 of 263)
PASS: compiler :: data_coverage_dso.c (122 of 263)
PASS: compiler :: backsolver_continuation_tuple.ll (123 of 263)
PASS: compiler :: ucsan_jit.c (124 of 263)
PASS: compiler :: test_ucsan_seed.py (125 of 263)
PASS: compiler :: backsolver_multi_exit_return.ll (126 of 263)
PASS: compiler :: poly_cache.c (127 of 263)
PASS: compiler :: poly_prefix_cache.c (128 of 263)
PASS: compiler :: poly_cross_prefix_cache.c (129 of 263)
PASS: compiler :: backsolver_continuation_cyclic_byte_lane_big_endian.ll (130 of 263)
PASS: compiler :: stable_site_ids.c (131 of 263)
PASS: compiler :: backsolver_continuation_byte_lane_big_endian.ll (132 of 263)
PASS: compiler :: backsolver_continuation_symbolic_heap_region_cycle_big_endian.ll (133 of 263)
